priority,priority_note,is_positive_control,control_name,molecule_chembl_id,molecule_pref_name,max_phase,canonical_smiles,rank_overall,potency_band,pactivity_median,pactivity_max,potency_nm_min,direction,has_efficacy_corroboration,efficacy_fold_max,efficacy_pct_max,evidence_level,n_assays,n_docs,flags,murcko_scaffold,scaffold_cluster_size,is_scaffold_representative
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL3960517,,,CN1C(=O)CCC1c1cc2[nH]c(-c3nc(CC(=O)O)cs3)cc2cc1Oc1ccc(S(C)(=O)=O)cc1,297,6.5–7.0（0.1–0.32 µM）,6.93,6.93,118.2,activation_by_potency,FALSE,,,弱,1,1,,O=C1CCC(c2cc3[nH]c(-c4nccs4)cc3cc2Oc2ccccc2)N1,5,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL3985968,,,CN1C(=O)CCC1c1cc2[nH]c(-c3ccc(C(=O)NCCC(=O)O)cn3)cc2cc1Oc1ccc(S(C)(=O)=O)nc1,298,6.5–7.0（0.1–0.32 µM）,6.93,6.93,116.2,activation_by_potency,FALSE,,,弱,1,1,,O=C1CCC(c2cc3[nH]c(-c4ccccn4)cc3cc2Oc2cccnc2)N1,8,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL577190,,,COc1ccc2nc(NC(=O)C(CC3CCCC3)c3ccc(S(=O)(=O)NCCN(C)C)cc3)sc2n1,299,6.5–7.0（0.1–0.32 µM）,6.93,6.93,117.0,activation_by_potency,FALSE,,,弱,1,1,,O=C(Nc1nc2cccnc2s1)C(CC1CCCC1)c1ccccc1,11,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL1165817,,,O=C(Nc1nc2c(s1)CCCC2)[C@H](CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,300,6.5–7.0（0.1–0.32 µM）,6.92,6.92,120.0,activation,TRUE,2.55,,中,2,1,,O=C(Nc1nc2c(s1)CCCC2)C(CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,2,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL2314798,,,COC[C@H](C)Oc1cc(/C=C/c2ccc(F)cc2)cc(C(=O)Nc2ccn(C)n2)c1,302,6.5–7.0（0.1–0.32 µM）,6.92,6.92,119.0,activation_by_potency,FALSE,,,弱,1,1,,O=C(Nc1cc[nH]n1)c1cccc(C=Cc2ccccc2)c1,10,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL2315022,,,COC[C@H](C)Oc1cc(/C=C/c2ccc(F)cc2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1,303,6.5–7.0（0.1–0.32 µM）,6.92,6.92,120.0,activation_by_potency,FALSE,,,弱,1,1,,O=C(Nc1ccccn1)c1cccc(C=Cc2ccccc2)c1,10,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL3358425,,,CCc1ncccc1Oc1cc(CC(C)C)cnc1NC(=O)NC,306,6.5–7.0（0.1–0.32 µM）,6.92,6.92,120.0,activation_by_potency,FALSE,,,中,2,1,,c1cncc(Oc2cccnc2)c1,9,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL3358443,,,CCn1nccc1Oc1cc(C[C@H]2CC[C@@H](O)CC2)cnc1NC(=O)NC,307,6.5–7.0（0.1–0.32 µM）,6.92,6.92,120.0,activation_by_potency,FALSE,,,中,2,1,,c1cc(Oc2cncc(CC3CCCCC3)c2)[nH]n1,4,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL4093271,,,O=C(Nc1ncc(F)s1)[C@H](CC1CCOCC1)n1ncc2c(S(=O)(=O)C3CC3)cc(F)cc21,309,6.5–7.0（0.1–0.32 µM）,6.92,6.92,120.0,activation,TRUE,,91.0,中,2,1,,O=C(Nc1nccs1)C(CC1CCOCC1)n1ncc2c(S(=O)(=O)C3CC3)cccc21,8,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL551849,,,COc1ccc(Sc2ccc(Sc3nnc[nH]3)nc2C(=O)Nc2nccs2)cc1,311,6.5–7.0（0.1–0.32 µM）,6.92,6.92,120.0,activation_by_potency,FALSE,,,弱,1,1,,O=C(Nc1nccs1)c1nc(Sc2nnc[nH]2)ccc1Sc1ccccc1,11,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL564110,,,Cn1cnnc1Sc1ccc(Sc2ccc(F)cc2)c(C(=O)Nc2nccs2)n1,312,6.5–7.0（0.1–0.32 µM）,6.92,6.92,120.0,activation_by_potency,FALSE,,,弱,1,1,,O=C(Nc1nccs1)c1nc(Sc2nnc[nH]2)ccc1Sc1ccccc1,11,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL4544957,,,CNC(=O)Nc1cc(Oc2cncc(C)c2)c([C@H]2C[C@@H](O)C2)cn1,316,6.5–7.0（0.1–0.32 µM）,6.905,6.96,110.0,activation_by_potency,FALSE,0.97,,中,4,1,,c1cncc(Oc2ccncc2C2CCC2)c1,6,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL2206792,,,COCC[C@H](Oc1ncnc2c1cnn2-c1ccccc1OC)C(=O)Nc1ccc(C)cn1,318,6.5–7.0（0.1–0.32 µM）,6.9,6.9,125.89,activation_by_potency,FALSE,,,弱,1,1,,O=C(COc1ncnc2c1cnn2-c1ccccc1)Nc1ccccn1,18,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL3221488,,,Cc1ccc(NC(=O)[C@H](COC(C)C)Oc2ncnc3c2cnn3-c2ccccc2Cl)nc1,320,6.5–7.0（0.1–0.32 µM）,6.9,6.9,125.89,activation_by_potency,FALSE,,,弱,1,1,,O=C(COc1ncnc2c1cnn2-c1ccccc1)Nc1ccccn1,18,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL3221494,,,CC(C)OC[C@H](Oc1ncnc2c1cnn2-c1ccccc1Cl)C(=O)Nc1ccc(Cl)cn1,321,6.5–7.0（0.1–0.32 µM）,6.9,6.9,125.89,activation_by_potency,FALSE,,,强,2,2,1 条 potential_duplicate,O=C(COc1ncnc2c1cnn2-c1ccccc1)Nc1ccccn1,18,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL3221500,,,CC(C)OC[C@H](Oc1ncnc2c1cnn2-c1ccccc1Cl)C(=O)Nc1ccccn1,322,6.5–7.0（0.1–0.32 µM）,6.9,6.9,125.89,activation_by_potency,FALSE,,,弱,1,1,,O=C(COc1ncnc2c1cnn2-c1ccccc1)Nc1ccccn1,18,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL3221524,,,O=C(Nc1ccc(F)cn1)[C@H](COCCO)Oc1ncnc2c1cnn2-c1c(Cl)cccc1Cl,323,6.5–7.0（0.1–0.32 µM）,6.9,6.9,125.89,activation_by_potency,FALSE,,,弱,1,1,,O=C(COc1ncnc2c1cnn2-c1ccccc1)Nc1ccccn1,18,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL379153,,,CC(C)Oc1cc(O[C@@H](C)c2ccccc2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1,324,6.5–7.0（0.1–0.32 µM）,6.89,6.96,110.0,activation_by_potency,FALSE,,,强,2,2,,O=C(Nc1ccccn1)c1cccc(OCc2ccccc2)c1,6,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL372860,,,CC(C)Oc1cc(OCCc2ccccc2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1,326,6.5–7.0（0.1–0.32 µM）,6.89,6.89,130.0,activation_by_potency,FALSE,,,弱,1,1,,O=C(Nc1ccccn1)c1cccc(OCCc2ccccc2)c1,10,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL584807,,,Cn1ccc(Nc2ncnc3ccc(Oc4ccc(F)cc4F)cc23)n1,331,6.5–7.0（0.1–0.32 µM）,6.87,7.22,60.0,activation,TRUE,0.93,,中,4,1,,c1ccc(Oc2ccc3ncnc(Nc4cc[nH]n4)c3c2)cc1,10,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL573749,,,Cc1csc(Nc2ncnc3ccc(Oc4ccccc4S(C)(=O)=O)cc23)n1,332,6.5–7.0（0.1–0.32 µM）,6.87,7.1,80.0,activation,TRUE,0.8,,中,4,1,,c1ccc(Oc2ccc3ncnc(Nc4nccs4)c3c2)cc1,3,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL2314810,,,COC[C@H](C)Oc1cc(CCc2ccccc2OC)cc(C(=O)Nc2ccn(C)n2)c1,333,6.5–7.0（0.1–0.32 µM）,6.87,6.87,135.0,activation_by_potency,FALSE,,,弱,1,1,,O=C(Nc1cc[nH]n1)c1cccc(CCc2ccccc2)c1,6,FALSE
