molecule_chembl_id,molecule_pref_name,max_phase,first_approval,molecule_type,structure_type,source,activity_evidence,curated_direction,curated_mechanism,found_by_drug_annotation,parent_chembl_id,dedup_group,is_dedup_representative,is_salt,priority,potency_band,pactivity_median,potency_nm_min,direction,canonical_smiles,standard_inchi_key,mw_freebase,full_mwt,alogp,hba,hbd,psa,rtb,num_ro5_violations,aromatic_rings,heavy_atoms,qed_weighted,full_molformula,n_structural_alerts,structural_alert_sets,lle_max,murcko_scaffold,scaffold_cluster_size,is_scaffold_representative,is_positive_control,control_name
CHEMBL5094606,,,,Unknown,MOL,activity,TRUE,,,,CHEMBL5094606,CHEMBL5094606,TRUE,FALSE,P1,7.0–7.5（32–100 nM）,7.21,61.0,activation,CCOP(=O)(Cn1ccc(NC(=O)c2cc(Oc3cnc(C(=O)N4CCC4)nc3)cc(OC(C)C)c2)n1)OCC,AEDJLTFKZRNAKJ-UHFFFAOYSA-N,572.56,572.56,4.57,11,1,147,13,2,3,40,0.29,C26H33N6O7P,2,"[""Dundee"", ""MLSMR""]",2.64,O=C(Nc1cc[nH]n1)c1cccc(Oc2cnc(C(=O)N3CCC3)nc2)c1,1,TRUE,FALSE,
CHEMBL2023436,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL2023436,CHEMBL2023436,TRUE,FALSE,P1,7.0–7.5（32–100 nM）,7.2,63.1,activation,CC(C)=CCOc1cc(Oc2ccc(S(=O)(=O)N3CC[C@H](F)C3)cc2)cc(C(=O)Nc2cc(C)n(C)n2)c1,KIEQDRSOYHECPG-NRFANRHFSA-N,542.63,542.63,4.85,7,1,102.76,9,1,3,38,0.39,C27H31FN4O5S,2,"[""Dundee"", ""MLSMR""]",2.35,O=C(Nc1cc[nH]n1)c1cccc(Oc2ccc(S(=O)(=O)N3CCCC3)cc2)c1,2,TRUE,FALSE,
CHEMBL2346882,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL2346882,CHEMBL2346882,TRUE,FALSE,P1,7.0–7.5（32–100 nM）,7.2,63.0,activation,O=C(Nc1nccs1)[C@H](CC1CCCCC1)N1CCN(S(=O)(=O)C2CCCC2)CC1=O,XDIWPYYDLRTNOH-SFHVURJKSA-N,468.65,468.65,2.84,6,1,99.68,7,0,1,31,0.66,C21H32N4O4S2,1,"[""MLSMR""]",4.36,O=C(Nc1nccs1)C(CC1CCCCC1)N1CCN(S(=O)(=O)C2CCCC2)CC1=O,1,TRUE,FALSE,
CHEMBL2023056,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL2023056,CHEMBL2023056,TRUE,FALSE,P1,7.0–7.5（32–100 nM）,7.19,64.6,activation,COC1CCN(S(=O)(=O)c2ccc(Oc3cc(OCC=C(C)C)cc(C(=O)Nc4ncc(F)s4)c3)cc2)CC1,KESKXWPXUFDYPI-UHFFFAOYSA-N,575.68,575.68,5.47,8,1,107.06,10,2,3,39,0.32,C27H30FN3O6S2,2,"[""Dundee"", ""MLSMR""]",1.72,O=C(Nc1nccs1)c1cccc(Oc2ccc(S(=O)(=O)N3CCCCC3)cc2)c1,2,TRUE,FALSE,
CHEMBL575904,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL575904,CHEMBL575904,TRUE,FALSE,P1,7.0–7.5（32–100 nM）,7.18,40.0,activation,Cc1nsc(Nc2ncnc3ccc(Oc4c(F)cccc4S(C)(=O)=O)cc23)n1,KLYQDJNGFRQPRS-UHFFFAOYSA-N,431.47,431.47,3.87,9,1,106.96,5,0,4,29,0.51,C18H14FN5O3S2,0,,3.53,c1ccc(Oc2ccc3ncnc(Nc4ncns4)c3c2)cc1,1,TRUE,FALSE,
CHEMBL5072442,,,,Unknown,MOL,activity,TRUE,,,,CHEMBL5072442,CHEMBL5072442,TRUE,FALSE,P1,7.0–7.5（32–100 nM）,7.17,67.0,activation,CCOP(=O)(Cn1ccc(NC(=O)c2cc(Oc3ccc(S(=O)(=O)N4CCC4)cc3)cc(OC(C)C)c2)n1)OCC,KCYXUDZLRCFLSN-UHFFFAOYSA-N,606.64,606.64,5.33,10,1,138.29,14,2,3,41,0.24,C27H35N4O8PS,3,"[""Dundee"", ""MLSMR""]",1.84,O=C(Nc1cc[nH]n1)c1cccc(Oc2ccc(S(=O)(=O)N3CCC3)cc2)c1,1,TRUE,FALSE,
CHEMBL480725,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL480725,CHEMBL480725,TRUE,FALSE,P1,7.0–7.5（32–100 nM）,7.16,70.0,activation,O=C(Nc1ncc(F)s1)[C@H](CC1CCOCC1)c1ccc(S(=O)(=O)C2CCCC2)cc1,NQXNVQDFPSSMKO-LJQANCHMSA-N,466.6,466.6,4.54,6,1,85.36,7,0,2,31,0.65,C22H27FN2O4S2,0,,2.61,O=C(Nc1nccs1)C(CC1CCOCC1)c1ccc(S(=O)(=O)C2CCCC2)cc1,1,TRUE,FALSE,
CHEMBL608393,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL608393,CHEMBL608393,TRUE,FALSE,P1,7.0–7.5（32–100 nM）,7.135,67.11,activation,Cn1ccnc1Sc1cc(C(=O)Nc2nccs2)c(N)cc1F,YUCYMQBDBXVNCE-UHFFFAOYSA-N,349.42,349.42,3,7,2,85.83,4,0,3,23,0.71,C14H12FN5OS2,1,"[""Dundee""]",4.17,O=C(Nc1nccs1)c1cccc(Sc2ncc[nH]2)c1,4,TRUE,FALSE,
CHEMBL2023052,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL2023052,CHEMBL2023052,TRUE,FALSE,P1,7.0–7.5（32–100 nM）,7.11,78.0,activation,CC(C)=CCOc1cc(Oc2ccc(S(=O)(=O)N3CC4CCC(C3)O4)cc2)cc(C(=O)Nc2ncc(F)s2)c1,WLNRSXUPQQKTNY-UHFFFAOYSA-N,573.67,573.67,5.22,8,1,107.06,9,2,3,39,0.35,C27H28FN3O6S2,2,"[""Dundee"", ""MLSMR""]",1.89,O=C(Nc1nccs1)c1cccc(Oc2ccc(S(=O)(=O)N3CC4CCC(C3)O4)cc2)c1,2,TRUE,FALSE,
CHEMBL1164790,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL1164790,CHEMBL1164790,TRUE,FALSE,P1,7.0–7.5（32–100 nM）,7.1,79.0,activation,O=C(Nc1nc2c(s1)CCC2)C(CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,MKIYWNHKYDNDGI-UHFFFAOYSA-N,460.62,460.62,4.11,6,1,85.36,7,0,2,31,0.67,C23H28N2O4S2,0,,2.99,O=C(Nc1nc2c(s1)CCC2)C(CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,1,TRUE,FALSE,
