patent_id,patent_number,country,publication_date,family_id,title,surface_forms,n_mentions,hit_clms
8552037,EP-2125735-B1,EP,2012-06-27,39636932,"2,2,2-TRI-SUBSTITUTED ACETAMIDE DERIVATIVES AS GLUCOKINASE ACTIVATORS, THEIR PROCESS AND PHARMACEUTICAL APPLICATION","[""GKRP"", ""glucokinase regulatory protein""]",4,
956216,EP-2155720-A1,EP,2010-02-24,39864859,"PYRROLE-2-CARBOXAMIDE DERIVATIVES AS GLUCOKINASE ACTIVATORS, THEIR PROCESS AND PHARMACEUTICAL APPLICATION","[""GKRP"", ""glucokinase regulatory protein""]",2,
12206780,EP-2155720-B1,EP,2013-07-17,39864859,"PYRROLE-2-CARBOXAMIDE DERIVATIVES AS GLUCOKINASE ACTIVATORS, THEIR PROCESS AND PHARMACEUTICAL APPLICATION","[""GKRP"", ""glucokinase regulatory protein""]",2,
1126417,EP-2170852-A1,EP,2010-04-07,39713941,"1, 3 - DIHYDROXY SUBSTITUTED PHENYLAMIDE GLUCOKINASE ACTIVATORS","[""glucokinase regulatory protein""]",1,
1228891,EP-2173717-A2,EP,2010-04-14,39811513,NOVEL GLUCOKINASE ACTIVATORS AND METHODS OF USING SAME,"[""glucokinase regulatory protein""]",1,
10771458,EP-2173717-B1,EP,2013-03-27,39811513,NOVEL GLUCOKINASE ACTIVATORS AND METHODS OF USING SAME,"[""glucokinase regulatory protein""]",1,
12170362,EP-2173717-B9,EP,2013-06-26,39811513,NOVEL GLUCOKINASE ACTIVATORS AND METHODS OF USING SAME,"[""glucokinase regulatory protein""]",1,
1236311,EP-2195304-A2,EP,2010-06-16,40467365,"ACETAMIDE DERIVATIVES AS GLUCOKINASE ACTIVATORS, THEIR PROCESS AND MEDICINAL APPLICATIONS","[""GKRP"", ""glucokinase regulatory protein""]",2,
13234425,EP-2195304-B1,EP,2014-01-08,40467365,"ACETAMIDE DERIVATIVES AS GLUCOKINASE ACTIVATORS, THEIR PROCESS AND MEDICINAL APPLICATIONS","[""GKRP"", ""glucokinase regulatory protein""]",2,
847547,EP-2220081-A2,EP,2010-08-25,40801688,GLUCOKINASE ACTIVATORS AND PHARMACEUTICAL COMPOSITIONS CONTAINING THE SAME AS AN ACTIVE INGREDIENT,"[""glucokinase regulatory protein""]",3,
14348169,EP-2257298-B1,EP,2015-12-02,40986223,"GENETIC POLYMORPHISM ASSOCIATED WITH STROKE, THERAPY BASED ON THE DETECTION OF THE POLYMORPHISM AND USE OF KITS CONTAINING REAGENTS FOR DETECTING THE POLYMORPHISM","[""Glucokinase (hexokinase 4) regulator""]",1,
268396,EP-2298779-A1,EP,2011-03-23,37606931,Sulfonamide derivatives as glycokinase activators useful in the treatment of type 2 diabetes,"[""GKRP""]",7,
397205,EP-2318370-A1,EP,2011-05-11,41091993,FLUORINATED HETEROARYLS,"[""glucokinase regulatory protein""]",1,
473340,EP-2336315-A2,EP,2011-06-22,38001974,Enzymatic encoding methods for efficient synthesis of large libraries,"[""Glucokinase regulator"", ""glucokinase regulatory protein""]",3,
17368841,EP-2336315-B1,EP,2017-07-19,38001974,Enzymatic encoding methods for efficient synthesis of large libraries,"[""Glucokinase regulator"", ""glucokinase regulatory protein""]",3,
506919,EP-2341140-A1,EP,2011-07-06,38001974,Enzymatic encoding methods for efficient synthesis of large libraries,"[""Glucokinase regulator"", ""glucokinase regulatory protein""]",3,
17368340,EP-2341140-B1,EP,2017-07-19,38001974,Enzymatic encoding methods for efficient synthesis of large libraries,"[""Glucokinase regulator"", ""glucokinase regulatory protein""]",3,
362471,EP-2344458-A1,EP,2011-07-20,41228587,HETEROARYLS AMIDE DERIVATIVES AND THEIR USE AS GLUCOKINASE ACTIVATORS,"[""glucokinase regulatory protein""]",1,
580942,EP-2358914-A2,EP,2011-08-24,42241553,DIAGNOSTIC SYSTEM FOR SELECTING NUTRITION AND PHARMACOLOGICAL PRODUCTS FOR ANIMALS,"[""Glucokinase (hexokinase 4) regulator""]",1,
640871,EP-2370813-A1,EP,2011-10-05,42233644,MATERIALS AND METHODS FOR DETERMINING DIAGNOSIS AND PROGNOSIS OF PROSTATE CANCER,"[""Glucokinase (hexokinase 4) regulator""]",1,
370354,EP-2389374-A1,EP,2011-11-30,42026372,SUBSTITUTED PYRAZINONE AMIDES,"[""glucokinase regulatory protein""]",1,
15543,EP-2402327-A1,EP,2012-01-04,44202209,"Acetamide compounds as glucokinase activators, their process and medicinal applications","[""GKRP"", ""glucokinase regulatory protein""]",2,
18510003,EP-2402327-B1,EP,2018-03-07,44202209,"Acetamide compounds as glucokinase activators, their process and medicinal applications","[""GKRP"", ""glucokinase regulatory protein""]",2,
366315,EP-2406230-A1,EP,2012-01-18,42312781,SUBSTITUTED INDAZOLE AMIDES AND THEIR USE AS GLUCOKINASE ACTIVATORS,"[""glucokinase regulatory protein""]",1,
365941,EP-2406253-A1,EP,2012-01-18,42124287,BENZOFURANYL DERIVATIVES USED AS GLUCOKINASE INHIBITORS,"[""glucokinase regulatory protein""]",1,
12183298,EP-2406253-B1,EP,2013-07-03,42124287,BENZOFURANYL DERIVATIVES USED AS GLUCOKINASE INHIBITORS,"[""glucokinase regulatory protein""]",1,
33858,EP-2407478-A1,EP,2012-01-18,42985395,New cyclotetrapeptides with pro-angiogenic properties,"[""Glucokinase (hexokinase 4) regulator""]",1,
6621886,EP-2456877-A1,EP,2012-05-30,43499447,METHOD FOR GENOME EDITING,"[""Glucokinase (hexokinase 4) regulator""]",2,
10692409,EP-2554540-A2,EP,2013-02-06,37714273,3-Cyclyl-2-(4-sulfamoyl-phenyl)-n-cyclyl-propionamide derivatives useful in the treatment of impaired glucose tolerance and diabetes,"[""GKRP""]",7,
10711607,EP-2558461-A1,EP,2013-02-20,44210782,NOVEL GLUCOKINASE ACTIVATORS AND METHODS OF USING SAME,"[""glucokinase regulatory protein""]",1,
14348054,EP-2558461-B1,EP,2015-12-02,44210782,NOVEL GLUCOKINASE ACTIVATORS AND METHODS OF USING SAME,"[""glucokinase regulatory protein""]",1,
10711495,EP-2558577-A1,EP,2013-02-20,44351525,BI-FUNCTIONAL COMPLEXES AND METHODS FOR MAKING AND USING SUCH COMPLEXES,"[""Glucokinase regulator"", ""glucokinase regulatory protein""]",3,
19878658,EP-2558577-B1,EP,2018-12-12,44351525,BI-FUNCTIONAL COMPLEXES AND METHODS FOR MAKING AND USING SUCH COMPLEXES,"[""Glucokinase regulator"", ""glucokinase regulatory protein""]",3,
10886581,EP-2593471-A1,EP,2013-05-22,42985395,CYCLOTETRAPEPTIDES WITH PRO-ANGIOGENIC PROPERTIES,"[""Glucokinase (hexokinase 4) regulator""]",1,
11334891,EP-2599392-A1,EP,2013-06-05,45656864,Triglyceride tolerance test meal,"[""glucokinase regulatory protein""]",1,
12134312,EP-2604604-A1,EP,2013-06-19,42124287,Benzofuranyl derivatives used as glucokinase inhibitors,"[""glucokinase regulatory protein""]",1,
12183390,EP-2609081-A1,EP,2013-07-03,44840531,SULFONYLPIPERAZINE DERIVATIVES THAT INTERACT WITH GLUCOKINASE REGULATORY PROTEIN FOR THE TREATMENT OF DIABETES,"[""GKRP"", ""glucokinase regulatory protein""]",648,
12299365,EP-2635309-A2,EP,2013-09-11,45401106,ANTI-DIABETIC COMPOUNDS,"[""GKRP"", ""glucokinase regulatory protein""]",2,
12544657,EP-2692868-A1,EP,2014-02-05,46785347,Adeno-associated viral (AAV) vectors useful for transducing adipose tissue,"[""GKRP"", ""glucokinase regulatory protein""]",2,
12554718,EP-2694491-A1,EP,2014-02-12,45952660,BENZODIOXEPINE AND BENZODIOXINE COMPOUNDS THAT INTERACT WITH GLUCOKINASE REGULATORY PROTEIN FOR THE TREATMENT OF DIABETES,"[""GKRP"", ""glucokinase regulatory protein""]",255,
13051631,EP-2793928-A2,EP,2014-10-29,47561699,ANTI-DIABETIC COMPOUNDS,"[""GKRP"", ""glucokinase regulatory protein""]",2,
16667795,EP-2793928-B1,EP,2017-03-15,47561699,PROCESS FOR PURIFYING A SAMPLE OF H38C2 ANTIBODY,"[""GKRP"", ""glucokinase regulatory protein""]",2,
